2026-04-04 07:03:58 [source.easyquotation] INFO: Easyquotation 初始化成功
2026-04-04 07:04:04 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:10:05 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:10:05 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:10:10 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:10:13 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:10:16 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:10:16 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:10:17 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:10:17 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:10:20 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:10:23 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:10:27 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:10:28 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:10:29 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:10:33 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:10:40 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:10:40 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:10:41 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:10:43 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:10:44 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:10:44 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:10:45 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:10:45 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:10:50 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:11:00 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:11:06 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:11:07 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:11:09 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:12:09 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:12:12 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:12:12 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:12:13 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:12:13 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:12:17 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:12:25 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:12:28 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:12:28 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:12:29 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:12:29 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:12:29 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:12:34 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:12:36 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:12:37 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:12:38 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:12:45 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:12:51 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:12:51 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:12:53 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:14:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:14:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:14:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:14:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:14:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:14:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:14:50 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:14:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:14:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:14:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:16:10 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:16:12 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:16:13 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:16:13 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:16:14 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:16:18 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:16:28 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:16:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:16:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:16:37 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:17:46 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:17:47 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:17:48 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:17:48 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:17:54 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:17:58 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:18:01 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:18:02 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:18:02 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:18:03 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:18:06 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:18:07 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:18:12 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:18:13 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:18:15 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:18:18 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:18:24 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:18:24 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:18:26 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:19:20 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:19:20 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:19:36 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:19:38 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:19:39 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:19:40 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:19:40 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:19:44 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:19:54 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:20:00 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:20:01 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:20:03 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:21:16 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:21:19 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:21:19 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:21:20 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:21:20 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:21:24 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:21:34 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:21:40 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:21:41 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:21:42 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:23:01 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:23:04 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:23:05 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:23:05 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:23:06 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:23:10 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:23:20 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:23:26 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:23:26 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:23:28 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:23:46 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:24:08 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:24:09 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:24:28 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 64 条
2026-04-04 07:24:29 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 778 条
2026-04-04 07:24:45 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:24:48 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:24:48 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:24:49 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:24:50 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:24:54 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:25:02 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1009 条
2026-04-04 07:25:07 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 64 条
2026-04-04 07:25:07 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:25:07 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 778 条
2026-04-04 07:25:13 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:25:13 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:25:15 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:25:37 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:25:40 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:25:41 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:25:50 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 762 条
2026-04-04 07:25:51 [source.easyquotation] INFO: Easyquotation 港股实时(FixedHKQuote): 09880.HK, close=102.1
2026-04-04 07:25:52 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 531 条
2026-04-04 07:26:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:26:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:26:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:26:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:26:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:26:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:26:50 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:26:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:26:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:26:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:28:10 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:28:13 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:28:13 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:28:14 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:28:14 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:28:18 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:28:28 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:28:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:28:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:28:36 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:30:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:30:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:30:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:30:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:30:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:30:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:30:50 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:30:59 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:31:00 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:31:01 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:32:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:32:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:32:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:32:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:32:36 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:32:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:32:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:32:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:32:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:32:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:34:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:34:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:34:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:34:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:34:36 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:34:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:34:50 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:34:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:34:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:34:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:36:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:36:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:36:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:36:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:36:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:36:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:36:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:36:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:36:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:36:57 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:38:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:38:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:38:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:38:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:38:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:38:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:38:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:38:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:38:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:38:57 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:40:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:40:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:40:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:40:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:40:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:40:39 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:40:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:40:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:40:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:40:57 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:42:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:42:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:42:35 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:42:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:42:36 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:42:40 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:42:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:42:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
2026-04-04 07:42:56 [source.easyquotation] INFO: Easyquotation 港股日K: 01810.HK, 1500 条
2026-04-04 07:42:58 [source.easyquotation] INFO: Easyquotation 港股日K: 06862.HK, 1500 条
2026-04-04 07:44:31 [source.easyquotation] INFO: Easyquotation 港股日K: 09988.HK, 1500 条
2026-04-04 07:44:34 [source.easyquotation] INFO: Easyquotation 港股日K: 09880.HK, 555 条
2026-04-04 07:44:34 [source.easyquotation] INFO: Easyquotation 港股日K: 01024.HK, 1269 条
2026-04-04 07:44:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09992.HK, 1307 条
2026-04-04 07:44:35 [source.easyquotation] INFO: Easyquotation 港股日K: 09658.HK, 801 条
2026-04-04 07:44:39 [source.easyquotation] INFO: Easyquotation 港股日K: 03998.HK, 1500 条
2026-04-04 07:44:49 [source.easyquotation] INFO: Easyquotation 港股日K: 00700.HK, 1500 条
2026-04-04 07:44:55 [source.easyquotation] INFO: Easyquotation 港股日K: 01579.HK, 1500 条
